ID,Home_income,Home_car,Home_drive,Age,Gender,Home_type,P_Trip_purpose,P_Trip_seq
248387_2,4,0,0,"[40,45)",1,3,0,1
248439_3,5,1,1,"[25,30)",1,4,4,2
245317_1,4,1,1,"[60,65)",1,2,0,1
248439_3,5,1,1,"[25,30)",1,4,0,1
245158_1,3,0,1,"[30,35)",0,3,4,2
248439_2,5,1,1,"[50,55)",0,4,1,3
245348_3,4,0,0,"[25,30)",0,3,0,1
245317_1,4,1,1,"[60,65)",1,2,4,2
249438_3,5,1,0,"[25,30)",1,4,0,1
248683_1,1,0,0,"[55,60)",0,4,4,3
248479_2,3,0,0,"[60,65)",0,4,3,2
249438_3,5,1,0,"[25,30)",1,4,4,2
248683_1,1,0,0,"[55,60)",0,4,2,2
245158_1,3,0,1,"[30,35)",0,3,0,1
245348_3,4,0,0,"[25,30)",0,3,4,3
248439_2,5,1,1,"[50,55)",0,4,2,2
249438_1,5,1,0,"[55,60)",0,4,4,2
248479_2,3,0,0,"[60,65)",0,4,0,1
249438_1,5,1,0,"[55,60)",0,4,3,1
193198_2,5,1,1,"[35,40)",0,5,0,1
18757_1,5,1,1,"[55,60)",1,4,0,1
193198_2,5,1,1,"[35,40)",0,5,4,2
16748_2,6,1,1,"[50,55)",0,5,0,1
18757_3,5,1,1,"[25,30)",0,4,4,2
18757_3,5,1,1,"[25,30)",0,4,0,1
16748_2,6,1,1,"[50,55)",0,5,4,2
204653_2,4,1,1,"[35,40)",1,4,4,2
19690_1,4,1,1,"[30,35)",0,2,4,2
19690_1,4,1,1,"[30,35)",0,2,0,1
204633_1,3,1,1,"[30,35)",0,3,0,1
16748_3,6,1,1,"[25,30)",0,5,4,2
19690_2,4,1,1,"[30,35)",0,2,4,2
204653_1,4,1,1,"[35,40)",0,4,0,1
18634_3,5,1,1,"[25,30)",1,4,0,1
18478_1,3,0,1,"[30,35)",0,1,0,1
204653_2,4,1,1,"[35,40)",1,4,0,1
18634_1,5,1,1,"[55,60)",1,4,4,2
204653_1,4,1,1,"[35,40)",0,4,4,2
16580_2,4,1,0,"[35,40)",0,4,4,2
